str_no_string|NO STRING!
str_npc15_personalitymatch_speech|Who's that rider there? Perhaps it is {s11} returning from the round? Oh, I can't speak badly of him -- he's a delicate and courteous gentleman. And he always praises my cooking, and... well, he is very kind, you know...
str_npc16_personalitymatch_speech|{s11} -- now he's a true warrior. His jokes may be crude and his habits plain, but he can fight like no other!
str_npc1_personalitymatch_speech_b|And if I'm sentenced to death someday, I hope he's the one holding the axe.
str_npc2_personalitymatch_speech_b|Just lately his knowledge of medicine saved my life.
str_npc3_personalitymatch_speech_b|It's strange, but we quickly found common ground. If only I could turn him to Christianity, the Bishop would surely give me back my frock.
str_npc4_personalitymatch_speech_b|And my how thrifty she is! Never mind she's from Novgorod, her dumpling soup is so good the plates are licked clean. You were right to take her into our ranks.
str_npc5_personalitymatch_speech_b|Our holy father is also quite useful in battle, as you have no doubt noticed. Last time he yelled such swears and curses that the enemy's horses lost their speed.
str_npc6_personalitymatch_speech_b|The balm he applied to my wounds after the fight healed them in but a few days. I am glad we have this man of wisdom in our company.
str_npc7_personalitymatch_speech_b|He seemed haughty at first, but now I can see that he is a man one can always rely on.
str_npc8_personalitymatch_speech_b|You mean to say Allah forbids drinking wine? That is so, but {s11} has well mastered the ways of religion. He explained that nothing in the Koran forbids the drinking vodka...
str_npc9_personalitymatch_speech_b|Our quartermaster is always up to the mark. God knows, were she not of simple folk, I would have offered her my hand and heart. A better housekeeper for my estate I could not find in the whole world.
str_npc10_personalitymatch_speech_b|I tell you, he and I are unstoppable in a fight!
str_npc11_personalitymatch_speech_b|If she is as skilled in amorous pleasures as she is in her shamanism, we would surely live a life of splendor!
str_npc12_personalitymatch_speech_b|'Tis quite a shame he took the path of a warrior. He would have made a marvelous doctor.
str_npc13_personalitymatch_speech_b|And it seems he has taken a fancy to me as well. I better go to the woods, and look for some herbs to heal his gout.
str_npc14_personalitymatch_speech_b|I say that she is the worthiest among your followers. Make it known to all, that any man who lays a finger on her shall sup on rotten horse-flesh for the remainder of the journey.
str_npc15_personalitymatch_speech_b|If you see him, tell him to hurry to lunch. I saved some delicacies for him. Were my husband that gallant and stately, I wouldn't have broken my rolling-pin on his head.
str_npc16_personalitymatch_speech_b|You should praise him highly, master, and reward him well for his deeds. That man never fails!
str_npc1_retirement_speech|Oh, {son/my dear}! My aching bones are telling me that my days of jumping around and swinging my blade have passed. I've got myself a little money, and I've a mind to buy a homestead where I shall meet my old age.
str_npc2_retirement_speech|{Sir/Madam}, I must speak out. Since the beginning, things have not gone as I had expected. Pardon me, but I have to leave you. I shall look for companions who would treat me well, and who have respect for my habits.
str_npc3_retirement_speech|Listen, commander! Last night I had a vision. Mother Mary said to go to Riga, visit the bishop there, and recant. He shall renounce his excommunication, and return me to the parish. It is not the first vision like this that I have had. I had better go...
str_npc4_retirement_speech|You see, lad, my brothers from the Don have planned a journey to Persia, to move some goods, and they called upon me to join them. Do not take this amiss, but I shall be going with them.
str_npc5_retirement_speech|Pardon me, {Herr Kommandant/Kommandantin}, but I must insist on canceling our agreement. The place of a soldier is not amongst mercenaries, but in the regular royal forces. May good fortune follow you, wherever your path takes you!
str_npc6_retirement_speech|Listen, {sir/my lady}. My heart is aching, and I am always worried about my wife, who is alone in foreign lands. Do not take it amiss, please, but I shall have to leave you for a while.
str_npc7_retirement_speech|Captain! Pardon me please, but I feel myself out of place lately. I shall have to look for another company, which would appreciate my true worth.
str_npc8_retirement_speech|Sorry, aga, but there is a situation... In a town nearby, a hangman retired of old age. Oh, if only you knew how I miss my job. At night I dream of the axe, the noose and the strangling silk wire. So I think I will head there and try to get the job I was meant for...
str_npc9_retirement_speech|{playername}, it is time we part ways. I heard war has flamed up in Bryansk, and I wish to head there, to try to recover my stolen lands. Thank you for everything, and remember me kindly.
str_npc10_retirement_speech|I won't beat about the bush. I'm a soldier of fortune, and things with you haven't looked good for quite a while now. Besides, I have been given a favorable offer. But I do hope I never meet you on the battlefield! Farewell.
str_npc11_retirement_speech|A herald arrives from the steppe, Mirza! The time has come! The Nogai Horde is ready to break free from the Turkish yoke. And I must be there to join them! Farewell!
str_npc12_retirement_speech|Well, the time has come for us to part ways, good commander. The locals have persuaded me to stay and heal them. I am grateful for your help and protection, and shall you have need of my leeches, you know where to find me.
str_npc13_retirement_speech|I am tired of these constant journeys and battles, {playername}! I will try to find myself a cozy nook where I can live in peace and devote myself to my trade. But before we part, I shall charm you, that you may enjoy fortune in battle.
str_npc14_retirement_speech|Pardon me, {sir/madam}, but my patience is at end. Your soldiers are gluttonous and ungrateful, and your companions are rude and uncouth. Besides, managing supplies without filling my own pocket is not worthy of my trade. Here is all the income and expenses written down. I hope we may part amicably, yes?
str_npc15_retirement_speech|Oh {sir/madam}, I cannot bear this wanderer's life much longer. We travel the fields and woods, like bears woken up in the winter. I feel must try to return home. Thank you for bread and salt, for refuge and for wisdom shared.
str_npc16_retirement_speech|Forgive me, but I can no longer faithfully protect you. Your companions and your deeds are unacceptable for me. So long. -- Perhaps we shall meet again.
str_npc1_rehire_speech|You know, {my son/my dear}, I may no longer be a young man, but the peaceful life does not feel right by me. All the moreso when there's enemies swarming all around! So if you should order a jug of merry wine brought for me, well, I would be glad to return under your command.
str_npc2_rehire_speech|I must admit you are the finest companion I have ever met. My leave was a great mistake.
str_npc3_rehire_speech|It is you, commander! Oh, the sacrist of the Riga Cathedral told me that believing dreams is a sin! The days I spent in the diocesan jail were dreadful. Anyway, you can fully count on me.
str_npc4_rehire_speech|Oh, commander! I knew in my heart that this journey I set out on would not bring me much good. My share of the goods is so small that I squandered it away in the first pub I passed. So if you'll have me back, I would be glad of it.
str_npc5_rehire_speech|{Herr/Dame} {playername}! A few weeks in a musketeer regiment have been enough for me to understand my mistake. Instead of fighting, we were square-bashing all day, and when I returned from a leave just a little bit drunk, I received ten days of incarceration. Sitting in the cold wet basement, I recalled our campaigns as some of the happiest times in my life. I already bought some parchment and wrote a new contract. Would you kindly sign it?
str_npc6_rehire_speech|I have found you at last! My wife is well, and I am ready to stand under your banner once more.
str_npc7_rehire_speech|Good day to you, captain. I was wrong when I thought of finding better companions. Would you mind if I join you again?
str_npc8_rehire_speech|I did not expect to see you here, aga. It turns out that only locals can work here as hangmen. So I wander about in search for odd jobs. Would you accept me back into your ranks?
str_npc9_rehire_speech|What can I say, {playername}... It seems that acquiring new lands under your command would be easier than returning to my old estates! I hope you don't mind us fighting under the same banner once more?
str_npc10_rehire_speech|It seems there's only tricksters and scoundrels in these parts! Their "favorable offer" was only favorable until the day came to pay wages! These coppers weren't even enough to purchase a new cross-belt. All in all, if you don't mind, I am quite ready to return to your company.
str_npc11_rehire_speech|Alas, Allah was not with us this time. We were defeated -- but our struggle for independence is not over. Please, take me back once more, if you still have need of me.
str_npc12_rehire_speech|With the scarce pay these villagers can offer me, I had almost given up. No, I am much better off serving as an army doctor. Would you accept me back?
str_npc13_rehire_speech|Well then, we meet again. You were right -- war is everywhere, and quiet places are in short supply in these land. I would prefer to be among friendly warriors.
str_npc14_rehire_speech|My good {sir/lady}! I am so glad to see you once more. The lot of a freelance quartermaster is a poor one. Armies have no need of suppliers: their commanders simply ransack all the settlements they come across on their way. Forget everything I said before, please. I forgive the foolish Swede. I may return to your company, I hope?
str_npc15_rehire_speech|Ah, {sir/madam}! There is no such thing as a happy life for a poor widow. My house was taken by the treasury on the orders of the warlord. I am a mere wanderer once more. Take me back, I beg you! -- I will serve you hand and foot.
str_npc16_rehire_speech|Since we parted, you have changed quite a bit. I hope not for the worse, but we shall see. You are taking me back, right?
str_npc1_home_intro|Wadowice! The lands of Great Poland, the lands of my childhood and my youth...
str_npc2_home_intro|Kamenets! I'll be damned if this is not the most beautiful place in the world.
str_npc3_home_intro|Krakov. The ancient capital of Poland. A city of great kings and zealous Catholics.
str_npc4_home_intro|I come from here, you know. My father served in the Korsun regiment.
str_npc5_home_intro|I was born and grew up in these lands.
str_npc6_home_intro|A covert, concealed place for a shelter, refuge -- or a prison. This is what the word Tula means. It is the name of my hometown.
str_npc7_home_intro|Ryazan, the first Russian city to fall under the onslaught of the Mongols. I come from these lands.
str_npc8_home_intro|Here, where the Don enters the sea of Azov, is my homeland.
str_npc9_home_intro|I hear the bells of Vilna! The ancient capital of Lithuania! Oh how many memories they call up...
str_npc10_home_intro|I know these lands! Once upon a time I had a jolly good battle here, when I first arrived in your domains.
str_npc11_home_intro|The steppe, the endless steppe... My dear lands.
str_npc12_home_intro|We are approaching Kiev!
str_npc13_home_intro|Poltava. The name of this place is unknown amongst men, yet my fortune telling predicts a great battle shall soon scar the place. But it shall also glorify my town, so it shall be known throughout all the world, and the best bards shall sing of it.
str_npc14_home_intro|A few more miles and we shall see the walls of Reval!
str_npc15_home_intro|This quiet forest stream is called Volkhov. From here it is but a short way to Novgorod.
str_npc16_home_intro|There, I can hear the roar of the surf. We shall soon see my town of Kafa.
str_npc1_home_description|This is the earth that gave birth to Poland. Our gentry is the most freedom-loving in God's great world. And our king has always been elected, and ruled as a first among equals.
str_npc2_home_description|From here it is not far to Valachia, my homeland. This city has always been on one border or another. Many armies have come, to feel the tar poured on them by the city's defenders... The tumen of Batu Khan, the regiments of Algirdas. Nalivaiko, Krivonos, Bogun -- and even Hmelnitski himself have laid siege there.
str_npc3_home_description|It was here, in 1386, that the Lithuanian Prince Jogaila was baptized. And later, his marriage with Queen Jadwiga laid the first stones in the union of Poland and Lithuania in our great Commonwealth.
str_npc4_home_description|Korsun was founded by Yaroslav the Wise himself, and of all the cities of Ukraine, is it perhaps second only to Chigirin.
str_npc5_home_description|Ah Vyborg, the great city of the Swedish crusaders, who arrived here in the XIII Century to bring the light of the Christian faith to the barbaric Karelian heathens. The first fortress here was erected in 1293 on the orders of king Tolhils Knutsen.
str_npc6_home_description|Half a century ago, Tula was captured by False Dmitry, who waited here for the fall of Moscow. Some three years later, another impostor arrived here, the Thief of Tushino.
str_npc7_home_description|The city today lies fifty verst away from the old town. Yet my homeland is right there.
str_npc8_home_description|This is Azaq-Kale, ancient Tana, which the Cossacks call Azov. My grandfather told me that our ancestors came from the Greeks who held the town. Even in these ancient days, they proudly bore the title of executioners!
str_npc9_home_description|Can you hear the wolves howling? It is a good sign. Old men say that the Lithuanian Prince Gediminas hunted in the lands and killed an auroch. As he lay sleeping after the hunt, he saw a giant iron wolf in his dream. The dream was prophetic -- soon the hill where the prince rested had become a mighty fortress.
str_npc10_home_description|My homeland is far, far away...
str_npc11_home_description|We, the descendants of the Ilkhan, came into the steppe not as refugees but as rightful rulers. Yet the Turkish Sultan preferred the Crimean Girays. Since that day we have lived as slaves.
str_npc12_home_description|That is a wonderful city! The years have taken their toll, but the capital of the Ancient Rus is even now the finest place on earth.
str_npc13_home_description|I know well these lands. They are of black earth, and the woods are full of prey. Kind people with an open heart live here. Had it not been for the war...
str_npc14_home_description|Reval, before it was taken by the Swedes, was a free town and part of the Hanseatic Union. My family used to reside there, even back in the times of the Livonian Order.
str_npc15_home_description|It is a large, rich city. I passed my childhood in the trading quarters.
str_npc16_home_description|My home city is a great trade center. Our goods are very special. Slaves require fine treatment and provisions, for their price is determined by how well they look.
str_npc1_home_description_2|If I should die, bury me in the quiet grove near my home village.
str_npc2_home_description_2|Together with other settlers, I have defended the city tower, from which I saw countless Cossack regiments surrounding the town. And this is how city dwellers repaid me...
str_npc3_home_description_2|That city is more than a homeland to me. Here one can feel the breath of antiquity...
str_npc4_home_description_2|A great battle there was, when Hmelnitski utterly crushed the gentry. In these days I was held captive by the Tatars.
str_npc5_home_description_2|My city is under the watchful eye of God. In September of 1495, the fortress of Vyborg was besieged by the regiments of Ivan the Third, the Tsar of Moscow. And just when the city was preparing to lower its flags and open the gates, a cross appeared in the skies. The siege army, fearing God's wrath, fled the city. Our family has passed this tale from generation to generation.
str_npc6_home_description_2|In these woods, my father taught me to be the master of the hounds. Later, after I mastered following hare trails and putting arrows through the squirrel's eye, I was sent to Moscow.
str_npc7_home_description_2|No matter if my town is small. We nobles of Ryazan are proud of our land and our forefathers!
str_npc8_home_description_2|Oh, how many men came here -- the Scythians, the Greeks, the Russians, the Pecheneg. And now this fortress remains the key to the Tauris.
str_npc9_home_description_2|There were times when the Princes of Vilna ruled all the lands from the North Sea to the Black Sea...
str_npc10_home_description_2|Let us talk about it some other day.
str_npc11_home_description_2|We have no towns, no halls and no forces. We are subdued, and pursue our meager lives in Bakhchisaray. Yet the glorious Nogai is my homeland. I shall fight for it to my final breath.
str_npc12_home_description_2|Were it not for the dreadful Kurenevka Cossacks, I would never have left my homestead in Podolsk. But fate never seems to ask my opinion... We are all blown in the wind. Even moreso, people who are masters of a trade like mine, which is so ungratefully received.
str_npc13_home_description_2|I do not blame the illiterate villagers for driving me out. Someday I shall return, and I shall stay.
str_npc14_home_description_2|For the dwellers of Reval, trade is the stuff of life. My father brought Russian hemp to England, and I -- well, I ran away and tagged along with the army.
str_npc15_home_description_2|I didn't like dolls and used to play skittles with the boys. As I grew up I learned to work with the oven. It was there I discovered that a rolling-pin in a strong hand is every bit as deadly as a blade.
str_npc16_home_description_2|Someday I shall return and open my own business. Slave trade is quite profitable, you know...
str_npc1_home_recap|I am of the great Polish gentry, and a relative to powerful magnates of the Polish Commonwealth.
str_npc2_home_recap|For many years my kin ruled Valachia, but I myself was born and grew up in Kamenets.
str_npc3_home_recap|My father is a minor landlord from the Krakov region. As for me, I wanted to become a warrior, but he gave me to a clerical academy instead.
str_npc4_home_recap|A Cossack homestead near the Yellow Waters. It was here that I first took my blade in my hands -- here that I smoked my first pipe.
str_npc5_home_recap|My family are descendants from the crusaders who fought the pagans of Karelia, and who finally settled in the lands.
str_npc6_home_recap|Oh, my lot is a bitter one. As I pass through my home town, I must hide in the shadows. I cannot even visit the graves of my parents!
str_npc7_home_recap|Our estate is not far from Old Ryazan. It was there that I was born.
str_npc8_home_recap|As I look on this shore where we used to play hide-go-seek as children, my eyes fill with tears.
str_npc9_home_recap|My parents owned a house in the Old Town. That is where my mother was delivered of her burden.
str_npc10_home_recap|The days of my youth were spent in a palace so grand that these halls of power would just seem a dirty hut by comparison...
str_npc11_home_recap|Where was I born? In the steppe. A nomad cannot name his birthplace more precisely than this.
str_npc12_home_recap|A small house on the slopes of Schekavitsa, which offered a view on the Dniepr and the Glybochitsk harbor. These are my first childhood remembrances.
str_npc13_home_recap|I had better not recall. When I think of my poor house by Poltava, my eyes fill with tears.
str_npc14_home_recap|Reval, Reval... oh, I wish I could glimpse just for a moment that narrow street, that old house of ours.
str_npc15_home_recap|Novgorod is my homeland. There is no finer town in all of Rus.
str_npc16_home_recap|I was born in the ancient town of Kafa.
str_npc1_honorific|{son/dear}
str_npc2_honorific|{sir/madam}
str_npc3_honorific|commander
str_npc4_honorific|friend
str_npc5_honorific|{herr/dame} {playername}
str_npc6_honorific|{sir/madam}
str_npc7_honorific|captain
str_npc8_honorific|{playername}-aga
str_npc9_honorific|{playername}
str_npc10_honorific|{monsieur/madame}
str_npc11_honorific|Mirza
str_npc12_honorific|good commander
str_npc13_honorific|good {man/lady}
str_npc14_honorific|{sir/madam}
str_npc15_honorific|{sir/madam}
str_npc16_honorific|master
str_comment_intro_liege_affiliated|Word has it that you have pledged your allegiance to my enemy. But I feel nothing evil would come of a little talk.
str_comment_intro_famous_liege|Your fame runs before you! Perhaps it is time that you enlist with a warlord worthy of your valor.
str_comment_intro_famous_martial|I have heard of your exploits. God willing, we shall meet in battle some day...
str_comment_intro_famous_badtempered|I have heard of you. Well, I am not one to waste time with polite conversation. If you have something to say, out with it.
str_comment_intro_famous_pitiless|I know your name. It strikes fear in men's hearts. Perhaps we should speak together some time.
str_comment_intro_famous_cunning|At last we meet. Word has it that you are a true warrior. Perhaps we should get together and talk, from time to time.
str_comment_intro_famous_sadistic|I know your name. So oft it's heard together with the word "wanted"... But that is no concern of mine.
str_comment_intro_famous_goodnatured|I've heard of you! We meet at last.
str_comment_intro_famous_upstanding|I know your name. They say you are a most valiant warrior. I can only hope that your honor and mercy matches your valor.
str_comment_intro_noble_liege|I need able warriors, but you must prove yourself first.
str_comment_intro_noble_martial|I've heard your name somewhere, but I cannot recall where exactly. Never mind, 'tis no matter. If we meet in battle, we'll surely find out more about each other.
str_comment_intro_noble_badtempered|I don't recognize the device on your banner. No doubt you are another foreigner come to our lands, as if we didn't have enough here already.
str_comment_intro_noble_pitiless|I see that you carry a nobleman's banner, but I do not recognize the device. Another vulture come to grow fat on the carrion of war, no doubt!
str_comment_intro_noble_cunning|You look like a noble, but there are many impostors nowadays who look like nobles. Still, it is always worthwhile to make the acquaintance of one who may one day become a great warlord.
str_comment_intro_noble_sadistic|Strange thing, I don't know your name. You must be one of these "new" nobles? Or perhaps you just claimed a fictional title?
str_comment_intro_noble_goodnatured|Do not be put off, but I do not recognize your banner. Forgive my ignorance, {sir/madame}! It is good to make your acquaintance.
str_comment_intro_noble_upstanding|I don't know your name. I can only trust your word that you're of noble birth.
str_comment_intro_common_liege|You may be of common birth, but know that I am always looking for good men to fight for me, if they can prove themselves worthy of my trust.
str_comment_intro_common_martial|Perhaps you are not of gentle birth, but if you prove your courage and honor, then I would consider you an equal -- on the battlefield.
str_comment_intro_common_badtempered|Speak quickly, if you have anything to say, for I have no time for twaddle.
str_comment_intro_common_pitiless|A mercenary? Another headache. Soon there'll be no place to hide from these soldiers of fortune...
str_comment_intro_common_cunning|Well... I have not heard of you, but you have the look of a {man/woman} who might make something of {himself/herself}, some day.
str_comment_intro_common_sadistic|A serf usually can count on a good beating from me if he asks me anything. But today I'm in a good mood, so speak.
str_comment_intro_common_goodnatured|Glad to see you.
str_comment_intro_common_upstanding|Greetings, {sir/madam}, and always remember that a noble warrior should be just and upright.
str_comment_you_raided_my_village_enemy_benevolent|You have attacked innocent peasants under my protection in the village of {s51}... Now your life isn't worth even a thaler!
str_comment_you_raided_my_village_enemy_spiteful|You have raided my village of {s51}, destroying my property and killing the tenants. I will take my compensation in blood!
str_comment_you_raided_my_village_enemy_coldblooded|You have raided my village of {s51}, destroying property and killing the tenants. If you wish to live, stay away from my lands.
str_comment_you_raided_my_village_enemy|You have raided my village of {s51}, destroying my property and killing tenants under my protection. You will pay dearly for your crimes!
str_comment_you_raided_my_village_unfriendly_spiteful|You have raided the village of {s51}. That village is mine, and you shall have to answer for your misdeeds...
str_comment_you_raided_my_village_friendly|You have raided the village of {s51}. That village is mine. We have nothing to talk about now.
str_comment_you_raided_my_village_default|You have raided the village of {s51}. That village is mine. If you continue to behave this way, we may soon come to blows.
str_comment_you_robbed_my_village_enemy_coldblooded|You have robbed my tenants in the village of {s51}. I take that as a personal insult.
str_comment_you_robbed_my_village_enemy|You have robbed innocent peasants under my protection in the village of {s51}. Prepare to answer for your misdeeds!
str_comment_you_robbed_my_village_friendly_spiteful|I have heard that you pinched some food from my tenants at {s51}. It is a time of war, I know all to well, but nothing is free in this life.
str_comment_you_robbed_my_village_friendly|I have heard that you requisitioned supplies from my tenants at {s51}. War is war, eh? Well them I'm sure you won't hold a grudge if something happens...
str_comment_you_robbed_my_village_default|You have robbed my tenants in the village of {s51}. A good idea for a bandit, but a bad one for a man who treasures my friendship...
str_comment_you_accosted_my_caravan_enemy|You have been accosting carts that I am ordered to protect! Brigands do not survive long in these lands.
str_comment_you_accosted_my_caravan_default|You have been accosting carts under my protection. I hope you did this in error. Otherwise, I shall have to teach you a lesson.
str_comment_you_helped_villagers_benevolent|I heard that you gave charity to my tenants in the village of {s51}. I had been neglectful in my duties as their lord and protector, and am I grateful for what you have done.
str_comment_you_helped_villagers_friendly_cruel|I heard that you gave charity to my tenants in the village of {s51}. That was very gracious, but I prefer to settle business with my people myself.
str_comment_you_helped_villagers_friendly|I heard that you gave charity to my tenants in the village of {s51}. You like playing a savior? Well, I shan't interfere...
str_comment_you_helped_villagers_unfriendly_spiteful|I heard that you gave charity to my tenants in the village of {s51}. As amusing as it is to see you grubbing for favor among my subjects, I would ask that you mind your own business.
str_comment_you_helped_villagers_cruel|I heard that you gave charity to my tenants in the village of {s51}. As the peasants' lord and protector, it is most properly my duty to assist them in times of hardship. You may mean well, but your actions still undercut my authority. I would thank you to leave them alone.
str_comment_you_helped_villagers_default|I heard that you gave charity to my tenants in the village of {s51}. Times are hard, and I know that you mean well, but try not to make a habit of it. I am their lord and protector, and I would rather not have them go looking to strangers for assistance.
str_comment_you_captured_a_castle_allied_friendly|I heard that you have besieged and taken {s51}. That was a great deed, and I am proud to call you my friend!
str_comment_you_captured_a_castle_allied_spiteful|I heard that you have besieged and taken {s51}. Good work! Rich trophies and barrels of good wine always await behind enemy castle walls!
str_comment_you_captured_a_castle_allied_unfriendly_spiteful|I heard that you have besieged and taken {s51}. I don't think you'll hold it though. No one likes people who over-step their position.
str_comment_you_captured_a_castle_allied_unfriendly|I heard that you have besieged and taken {s51}. Whatever our differences in the past, I must offer you my congratulations.
str_comment_you_captured_a_castle_allied|I heard that you have besieged and taken {s51}. Verily, these townsmen had it coming, I believe.
str_comment_you_captured_my_castle_enemy_spiteful|I hear that you have broken into my home at {s51}. You belong in the dungeon!
str_comment_you_captured_my_castle_enemy_chivalrous|You are holding {s51}, my rightful fief. When I win it back, you shall be the main attraction at the city gates, with a rope around your neck!
str_comment_you_captured_my_castle_enemy|{s51} is mine, do not presume you can hold it for long!
str_comment_we_defeated_a_lord_unfriendly_spiteful|Remember {s54}? So do I. Then you understand what the fates have in store for you.
str_comment_we_defeated_a_lord_unfriendly|I will not forget how we fought together against {s54}. Of course you would deserve a commendation, were it not for your past deeds...
str_comment_we_defeated_a_lord_cruel|Who could have thought that {s54} would be defeated so utterly?
str_comment_we_defeated_a_lord_quarrelsome|I shan't forget how we whipped {s54}? I enjoyed that.
str_comment_we_defeated_a_lord_upstanding|I will not forget our victory over {s54}. Let us once again raise our cups to commemorate it!
str_comment_we_defeated_a_lord_default|That was a great victory over {s54}, wasn't it? I am honored to have fought by your side.
str_comment_we_fought_in_siege_unfriendly_spiteful|I suppose you will want to drink to the memory of our capture of {s51}. Perhaps the wine will help me forget your earlier disgraces.
str_comment_we_fought_in_siege_unfriendly|I will not forget how together we stormed {s51}, but I can also not forget all the evil you've caused me.
str_comment_we_fought_in_siege_cruel|I won't ever forget how we stormed the fortress and cut down the defenders like grouse! The best hunt in my life!
str_comment_we_fought_in_siege_quarrelsome|Remember how the enemy squealed when we came over the walls of {s51}? They had thought they were safe! We wiped the smug smiles off their faces!
str_comment_we_fought_in_siege_upstanding|I shall always remember the assault on {s51}. Songs are sung about such battles!
str_comment_we_fought_in_siege_default|I will not forget how together we captured {s51}. I am honored to have fought by your side.
str_comment_we_fought_in_major_battle_unfriendly_spiteful|I suppose you will want to drink to the memory of our great victory near {s51}. But only for that -- for I remember all past injuries still.
str_comment_we_fought_in_major_battle_unfriendly|I will not forget how we fought together in the great battle near {s51}, but I can also not forget the other matters that lie between us...
str_comment_we_fought_in_major_battle_cruel|I won't forget the great battle near {s51}, when we broke through the enemy lines and they ran screaming before us. It is a sweet memory.
str_comment_we_fought_in_major_battle_quarrelsome|That was a fine fight near {s51}, when we made those bastards run!
str_comment_we_fought_in_major_battle_upstanding|I will not forget how we fought side by side at the battle near {s51}. Let us once again give thanks to heaven, and pray that we not grow too proud.
str_comment_we_fought_in_major_battle_default|I will not forget how we fought side by side at the great battle near {s51}. I am honored to have shared the battlefield with you.
str_comment_you_defeated_a_lord_allied_liege|So, you crossed swords with that rascal they call {s54}, and emerged victorious. I am very happy to hear it.
str_comment_you_defeated_a_lord_allied_unfriendly_spiteful|I heard that you fought and defeated {s54}. Every dog has its day, I suppose.
str_comment_you_defeated_a_lord_allied_spiteful|I heard that you fought and defeated that dog {s54}. Ah, if only I could have seen his disgrace.
str_comment_you_defeated_a_lord_allied_unfriendly_chivalrous|I heard that you fought and defeated {s54}. I hope this is true.
str_comment_you_defeated_a_lord_allied|I heard that you fought and defeated {s54}. I wish you joy of your victory.
str_comment_you_defeated_me_enemy_chivalrous|Well, last time you prevailed. Let us see what comes next.
str_comment_you_defeated_me_enemy_spiteful|I have been looking forward to meeting you again. Your tricks will not deceive me a second time, and I will relish hearing your cries for mercy.
str_comment_you_defeated_me_enemy|When last we met, {playername}, you had the better of me. But I assure you that it will not happen again!
str_comment_i_defeated_you_enemy_spiteful|Back for more? Make me fight you again, and I'll feed your bowels to my hounds.
str_comment_i_defeated_you_enemy_chivalrous|Come to test your valor against me again, {playername}?
str_comment_i_defeated_you_enemy_benevolent|So once again you come at me? Will you never learn?
str_comment_i_defeated_you_enemy_coldblooded|You are persistent, and are becoming a real nuisance.
str_comment_i_defeated_you_enemy|How many times must I beat you before you learn to keep your distance?
str_comment_we_were_defeated_unfriendly_spiteful|Last I saw you, you had been struck down by the men of {s54}. I blame you for that disaster. What a pity to see that you've survived.
str_comment_we_were_defeated_unfriendly|Last I saw you, you had been struck down by the men of {s54}. Well, I see that you survived.
str_comment_we_were_defeated_cruel|Last I saw you, you had been struck down by the men of {s54}. Don't worry -- we'll find him, and make him regret his deeds.
str_comment_we_were_defeated_default|Last I saw you, you had been struck down by the men of {s54}. It is good to see you alive and well.
str_comment_you_were_defeated_allied_friendly_spiteful|I heard that {s54} gave you a hard time. I think he shall have to pay for it.
str_comment_you_were_defeated_allied_unfriendly_cruel|I had heard that {s54} slaughtered your men like sheep. But here you are, alive. Such a disappointment!
str_comment_you_were_defeated_allied_spiteful|I heard that {s54} crushed you underfoot like an ox crushes an ant. Hah! Children should not play games made for grown-ups, little {boy/girl}!
str_comment_you_were_defeated_allied_pitiless|I heard that {s54} defeated you, and scattered your troops. That is most disappointing...
str_comment_you_were_defeated_allied_unfriendly_upstanding|I heard that {s54} defeated you. Perhaps you should consider your misdeeds... What might cause heaven to rebuke you in this way?
str_comment_you_were_defeated_allied_unfriendly|I heard that {s54} defeated you. And I see you treat your men as cannon fodder...
str_comment_you_were_defeated_allied|I heard that {s54} defeated you. But take heart -- the tables will soon be turned!
str_comment_you_helped_my_ally_unfriendly_chivalrous|I heard that you saved {s54} from likely defeat. Whatever else I may think of you, I must at least commend you for that.
str_comment_you_helped_my_ally_liege|I heard that you saved my subject {s54} from likely defeat. 
str_comment_you_helped_my_ally_unfriendly_spiteful|I heard that you rode to the rescue of our poor {s54}. Did you think him a damsel in distress? No matter -- it is a common mistake.
str_comment_you_helped_my_ally_spiteful|I heard that you saved {s54} from a whipping... I hope he learns his lesson from this.
str_comment_you_helped_my_ally_chivalrous|I heard that you got {s54} out of a tight spot. That was a noble deed.
str_comment_you_helped_my_ally_default|I heard that you got {s54} out of a tight spot. Good work!
str_comment_you_abandoned_us_unfriendly_spiteful|I heard that {s54} defeated you. The dumbest defeat ever!
str_comment_you_abandoned_us_unfriendly_pitiless|I heard that {s54} defeated you. But take heart -- the tables will soon be turned!
str_comment_you_abandoned_us_spiteful|You worm! You left us alone to face {s54}, didn't you? I spit at you.
str_comment_you_abandoned_us_chivalrous|You abandoned me in a fight with the enemy! There can be no excuse for such cowardice!
str_comment_you_abandoned_us_benefitofdoubt|You vanished in the heat of battle! I hope you have a good explanation for this!
str_comment_you_abandoned_us_default|What happened? You vanished in the heat of battle! I hope you were heavily wounded, or your name is forever stained by cowardice.
str_comment_you_ran_from_me_enemy_spiteful|What happened? You've vanished in the heat of battle! I hope you were heavily wounded... What else am I to think?!
str_comment_you_ran_from_me_enemy_chivalrous|What happened? One moment you were fighting with us against {s54}, and the next moment you were nowhere to be found!
str_comment_you_ran_from_me_enemy_benevolent|When I saw you last time, you fled with the tail between the legs. Why have you returned? To bark at me or plea for mercy?
str_comment_you_ran_from_me_enemy_coldblooded|Last time we met, you fled from me. I would expect no more from a lowborn scum!
str_comment_you_ran_from_me_enemy|When I saw you flee the last time that we met, I had hoped that I would not have to fight you again.
