qstr_Next_Page|Next Page
qstr_Zapasov_edi_v_{reg6?|The provisions in {reg6?city:fortress} are enough for another {reg3} days.
qstr_Zapasov_edi_v_{reg6?g|The provisions in {reg6?city:fortress} have run out. The defenders are starving.
qstr_Vi_stroite_lestnici_|You started the construction of ladders. {reg9} hours remain until they are completed.
qstr_Prokladka_podkopa_dl|Laying the explosives will take another {reg9} hours.
qstr_Postroika_lestnic_za|The preparations are complete. You can storm the town at any time.
qstr_Postroika_podkopa_za|The preparations are complete. You can storm the town at any time.
qstr_As_a_last_defensive_|As a final defensive effort, you retreat to the main hall of the keep. You and your remaining soldiers will put up a desperate fight here. If you are defeated, there's no place to fall back to.
qstr_You_ve_been_driven_a|You've been driven away from the walls, and the attackers are pouring into the streets. If you can defeat them, you can perhaps turn the tide and save the day.
qstr_You_ve_breached_the_|You've breached the town walls, but the stubborn defenders continue to resist you in the streets! You'll have to deal with them before you can attack the keep at the heart of the town.
qstr_The_town_centre_is_y|The town center is yours, but you must defeat the remaining defenders before you can claim victory.
qstr_The_remaining_defend|The remaining defenders have retreated to the fortress for a final stand. You must get inside and crush any remaining resistance.
qstr__kriticheskie|critical
qstr__ogromnie|massive
qstr__visokie|high
qstr_However_since_you_ar|However, since you are not a sworn {man/follower} of {s9}, there is no chance he would recognize you as the {lord/lady} of this {reg8?town:castle}.
qstr_The_enemy_has_been_f|The enemy has been forced to retreat. The assault is over, but the siege continues.
qstr__This_village_and_th| This village and all that surrounds it belong to you.
qstr__You_remember_that_t| You remember that this village and its surroundings belong to {s7}.
qstr__These_lands_belong_| These lands belong to no one.
qstr__{s3}__{reg9}_.| {s3} ({reg9}).
qstr__The_village_is_infe| The village is infested by {reg8} {s35}.
qstr__The_village_has_bee| The village has been ravaged. A handful of souls scatter as you pass through the burnt houses.
qstr__The_village_is_bein| The village is being raided.
qstr_No_one_here_seems_to|No one here seems to be willing to join your party.
qstr_One_{s3}_volunteers_|One {s3} volunteers to follow you.
qstr_{reg5}_{s3}_voluntee|{reg5} {s3} volunteer to follow you.
qstr_Try_as_you_might_you|Try as you might, you could not defeat the bandits. Infuriated, they raze the village to the ground to punish the peasants, and then leave the burning wasteland behind.
qstr_village|village
qstr_town|town
qstr_castle|fortress
qstr_{s18}_{s0}|{s18}, {s0}
qstr_The_{s17}_has_no_imp|The {s17} has no improvements.
qstr_The_{s17}_has_the_fo|The {s17} has the following improvements:{s18}.
qstr_The_assasins_beat_yo|The assassins beat you down and leave you for dead.
qstr_You_have_fallen._The|You have fallen. The bandits quickly search your body for every coin they can find, then vanish into the night. They have left you alive, if only barely.
qstr_Luckily_some_of_your|Luckily some of your companions come in search of you when you fail to return. They find you lying by the side of the road, and hurry you to safety to dress your wounds.
qstr_Luckily_some_passing|Luckily some passing townsfolk find you lying by the side of the road, and recognize you as something other than a simple beggar. They carry you to the nearest inn and dress your wounds.
qstr_You_fail_to_steal_an|You fail to steal any cattle.
qstr_You_drive_away_{reg1|You drive away {reg17} {reg12?head:head} of cattle from the village's herd.
qstr_OiM_Teper_luchshe_{s|You'd better not let yourself be seen by {s9}.
qstr_OiM_Potop_Loshad_tep|The horse has been seized. Time to bring it where it belongs.
qstr_You_are_at_{s2}.|You are at {s2}.
qstr__You_have_successful| You have successfully snuck in.
qstr___{reg1}_denars_per_| ({reg1} thaler per night)
qstr_Moreover_you_earn_{r|Moreover, you earn {reg8} thaler from the clever bets you placed on yourself...
qstr_Victory_is_yours!_Yo|Victory is yours! You have won this fight, but now you must prepare yourself for the next round. 
qstr_You_have_been_bested|You have been bested in this melee, but the master of ceremonies declares a recognition of your skill and bravery, allowing you to take part in the next round. 
qstr_{s11}^{s12}|{s11}^{s12}
qstr_You_were_beaten._The|You are beaten. The peasants are heartened by their success, but the lesson you intended to teach probably didn't get through...
qstr_After_beating_your_l|After beating your last opponent, you explain to the peasants how to better defend themselves against such attacks. Hopefully they will learn from the experience, and fight more carefully next time.
qstr_The_bandits_are_brok|The bandits are broken! Those few who remain alive and conscious run off with their tails between their legs, terrified of the peasants and their new champion.
qstr_{s1}_s_Ship|{s1}'s Ship
qstr_^{s3}_=_{reg1}{s1}|^{s3} = {reg1}{s1}
qstr_^{s3}_=_{reg1}{s2}|^{s3} = {reg1}{s2}
qstr_However_{reg3?You_ar|However, {reg3?you are:{s1} is} unable to find any trade goods that would bring a profit.
qstr_^Buying_{s4}_here_an|^Buying {s4} here and selling it at {s5} would bring a profit of {reg6} thaler per item.{s3}
qstr_{reg3?You_find:{s1}_|{reg3?You learn:{s1} learns} the following:^{s3}
qstr__Continue....|Continue...
qstr__Ne_hvataet_money_nu|Not enough money. {reg8} thaler required.
qstr__Back|Continue...
qstr__Stoimost_{reg8}_din|Cost: {reg9} thaler.
qstr__Continue|Continue...
qstr_{s2}^{reg1}_{s1}_ear|{s2}^{reg1} {s1} earned {reg0} experience.
qstr_{s2}^{s1}_earned_an_|{s2}^{s1} earned an additional {reg0} experience.
qstr_^You_earned_{reg0}_e|^You earned {reg0} experience.{s2}
qstr_The_training_didn_t_|The training didn't go well at all.
qstr_The_training_didn_t_g|The training didn't go very well.
qstr_The_training_went_qu|The training went fairly well.
qstr_The_training_went_ve|The training went very well.
qstr_The_training_went_pe|The training went perfectly.
qstr_{s13}_asked_you_to_r|{s13} asked you to report to him with at least {reg13} troops.
qstr_{s13}_ordered_you_to|{s13} ordered you to join the assault against {s14}.
qstr_Find_and_speak_with_|Find and speak with {s3} of {s4} to give him your oath of fealty.
qstr_you|you
qstr_OiM_You_ve_failed_to|You failed to protect the village.
qstr_OiM_You_ve_protected|You routed the enemy. You can continue your way.
qstr_OiM_You_ve_failed_to_|You failed to deliver the horse.
qstr_OiM_You_ve_protected_|You managed to outstrip your pursuers. You must deliver the horse as soon as possible, before someone else decides the should make it theirs.
qstr_OiM_Da_takoe_bivaet_|Such an opportunity arises but once in a lifetime.
qstr_OiM_Potop_Pani_osvob|The pani is free. Time to head back.
qstr_OiM_Potop_kshetuskiy|You need to sneak into the stables.
qstr_OiM_You_ve_failed_to_w|You failed to break the enemy's resistance; you lost the battle.
qstr_OiM_You_ve_got_the_h|You managed to outstrip your pursuers. You must deliver the horse as soon as possible to Skrzetuski.
qstr_Kozaki_podnyali_na_n|The Cossacks alarmed the guards!
qstr_OIM_getman_heroe_can|A report by the preceptor of the Hungarian city of Berghoff to the grandmaster. ^^Greetings, Monsieur! I have learned that the legendary Black Mace is a relic of one of the greatest ruling families of Russia. According to the family legend of the house Oleg, in the mid-XII Century Anno Domini, their ancestors made a secret pact with the pagan priests, the soothsayers. The soothsayers held sway over the common folk, and it was through their influence that the Princes sought to usurp power. ^This is when the soothsayers gave to the Princes of the house of Oleg the Black Mace -- a mace of incredible power. Near Kiev, the Princes erected the Kirillovskiy Monastery where the mace is apparently kept. ^^A similar legend goes among the Zhmuda magnates, the Radziwill. As it turns out, the Radziwill have priestly ancestors going back well into the times of the house of Rurik.
qstr_OIM_getman_heroe_nee|The book is written in an ancient language that you cannot comprehend. You shall need someone to translate it.
qstr_OIM_add__pora_nayti_|Spending many hours in the archives, you discover that the mace must be in the Radziwill family burial-vault.
qstr_OiM_You_ve_failed_to_wi|You lost the battle. The guards tied you up and threw you into jail.
qstr_OiM_You_ve_wing_the_|The king has been dethroned.
qstr_OIM_add_getman__Da_z|Radziwill strove for the mace for good reason. Whosoever holds it will most likely gain the support of all the ancient families. You must attempt to find this ancient artifact...
qstr_OIM_add_getman__Knig|The book cannot be read without an interpreter.
qstr_OIM_add_getman__Prik|Time to show the enemy how real Cossacks fight.
qstr_OIM_add_getman__Nuzh|The Hetman has a new mission for you. You should meet with him.
qstr_OiM_dmitriy_Teper_ko|Now that the prison guards are dead, only the Tsar knows your face. You shall need to find a powerful patron to protect you.
qstr_OIM_add_getman__Prika|Barabash orders you to conquer the Muscovite Tsardom.
qstr_OIM_add_getman__Bunt|The uprising was drowned in blood. Barabash wants to see you.
qstr_you_we_lost_the_figh|You lost the battle. Worse yet, you must pay the enemy {reg0} thaler.
qstr_you_won_the_fight._A|You won {reg0} thaler. You also learned some new fighting techniques.
qstr_you_we_lost_the_fight|You are defeated. You are lucky and it is but a flesh wound.
qstr_you_won_the_fight._An|You won the fight and learned a couple of new tricks.
qstr_You_ve_got_wound.._I|You are injured. Better rest a little and gather your strength.
qstr_oim_the_duel_is_over|The result of the fight is a draw.
qstr_oim_the_duel_is_over.|You lost. You should practice your shooting skills.
qstr_oim_the_duel_is_over._|Your long hours of practicing with the musket have proven useful. You won!
qstr_You_sought_that_the_|While dining at the pub, you noted a prosperous townsman. You see he is slightly drunk, and that it might be no great challenge to lighten his heavy purse a little...
qstr_There_is_gourds._It_|After resting and eating at the pub, you resolve to continue your journey.
qstr_You_lost_the_fight._|You lost. The guards were alarmed by the brawl, and take you down...
qstr_The_man_is_dead..._Y|You killed your opponent. You take his weapon, and some money out of his purse.
qstr_you_were_killed_as_c|The court's verdict is harsh indeed -- for murder and robbery {playername} is sentenced to death by hanging.
qstr_Nu_vow_vostaniye_zak|The rebellion is over. Time to talk to Razin.
qstr_Razin_now_is_the_mar|Razin is now the marshal.
qstr_OiM_text_for_main_qs|The messenger said that the king himself wanted to see you...
qstr_Viberite_nuzhnuyu_va|Select required service
qstr_Na_daniy_moment_eto_|The center of this settlement is empty, and only wind howls in the empty streets.
qstr_V_vashem_otryade_net|You have no companions.
qstr_V_vashem_otryade_ime|You have companions in your party, who can be trained.
qstr_Prosmotret_spisok_go|See the list of cities not under siege, where you have aides.
qstr_U_vas_net_gorodov_gd|As yet, you have no place to send an aide to.
qstr_Vam_nuzhno_poslat_go|Your capital has been captured. You must select a provisional capital.
qstr_Vibor_stolici_proshe|Now you have a new capital.
qstr_Vam_nuzhno_vibrat_di|You don't have a capital, or a city to move your capital to.
qstr_{s5}|{s5}
qstr_{s6}_^{s5}|{s6} ^{s5}
qstr_{s7}|{s7}
qstr_{s8}_^{s7}|{s8} ^{s7}
qstr_Breaking_camp...|Breaking camp...
qstr_{s65}|{s65}
qstr_Current_wealth:_{reg|Current wealth: {reg1}
qstr_Your_party_is_spotte|Your party is spotted by {s1}.
qstr_{reg1}_{s1}_{reg2?ha|{reg1} {s1} {reg2?have:has} escaped from your party during the night.
qstr_{s1}_of_{s3}_has_bee|{s1} of {s3} has been released from captivity.
qstr_Building_of_{s0}_in_|The construction of {s0} in {s4} has been completed.
qstr_{s1}_is_no_longer_in|{s1} is no longer infested by bandits at night.
qstr_You_pay_for_accommod|You pay for accommodations.
qstr__Your_tactics_skill_| Your Tactics skill has increased by 1.
qstr__Your_persuasion_ski| Your Persuasion skill has increased by 1.
qstr__Your_leadership_ski| Your Leadership skill has increased by 1.
qstr__Your_intelligence_h| Your Intelligence has increased by 1.
qstr__Your_trade_skill_ha| Your Trade skill has increased by 1.
qstr__Your_weapon_master_| Your Weapon-master skill has increased by 1.
qstr__Your_engineer_skill| Your Engineering skill has increased by 1.
qstr_You_have_finished_re|You have finished reading {s1}.{s2}
qstr_Book_Read|Book Read
qstr_You_must_follow_{s1}|You must follow {s1}!
qstr_You_must_follow_{s1}!|You must follow {s1}! This is your final warning!
qstr_{s1}_is_scouted.|{s1} has been scouted.
qstr_{s1}_has_switched_fr|{s1} has switched from {s2} to {s3}.
qstr_{s4}_is_in_{s5}|{s4} is in {s5}
qstr_OiM_Ne_uspeli_otoyti|Before you can walk away from the Cossacks, the prisoner tries to speak to you.
qstr_OiM_add_{s2}_joined_|{s2} has joined Zagloba's uprising!
qstr_{s5}^_{s1}|{s5}^ {s1}
qstr_You_promised_to_help|You promised to help {s13} claim the throne of {s14}.
qstr_{s6}_has_joined_your_|{s6} has joined your party.
qstr_{reg65?my_Lady:my_Lo|{reg65?my Lady:my Lord}
qstr_{reg65?My_Lady:My_Lo|{reg65?my Lady:my Lord}
qstr_{reg65?madame:sir}|{reg65?madame:sir}
qstr_{reg65?Madame:Sir}|{reg65?madame:sir}
qstr_Viberite_variant.|Here is what I can offer you:
qstr_Seychas_vse_dostupni|At present, all capable officers are occupied with the training of recruits.
qstr_U_vas_nedostatochno_|Your purse is too light to hire even a single militiaman!
qstr_Vot_vse_chto_dostupn|Here is what I can offer.
qstr_Vot_chto_vam_seychas|Now available:
qstr_Na_daniy_moment_net_|No available options.
qstr_Ya_seychas_zaynuat_p|Forgive me, but I am still occupied with your {s1} order. I shall be free in {reg2} {reg1?days:hours}.
qstr_Viberite_zhelayumiy_|What do you want to know?
qstr_Zdes_esche_net_{s1}.|This place still lacks {s1}
qstr_Zdes_uzhe_est_{s1}.|This place already has {s1}
qstr_{reg0?Naynyat:Postro|{reg0?Hire:Build}.
qstr_U_vas_zdes_uzhe_post|You have the following buildings already erected:^
qstr_Zdes_k_tebe_loyalni_|You have appointed men to the following duties in this city:^
qstr_U_vas_nichego_esche_|So far there has been no success in this regard.
qstr_It_s_your_money_or_y|It's your money or your life, {sir/mistress}. No sudden moves or we'll run you through.
qstr_Lucky_for_you_you_ca|Lucky for you, you caught me in a good mood. Give us all your coin and I might just let you live.
qstr_This_a_robbery_eh?_I|Sir, this be a robbery, clear? I givin' you one chance to hand over everythin' you got. My mates' knives be quite sharp. Understand?
qstr_we_have_made_very_li|we have made very little progress so far
qstr_we_have_suceeded_in_|we have succeeded in gaining some ground, but we still have a long way to go
qstr_we_have_become_a_sig|we have become a significant force, and we may have a chance at victory
qstr_we_are_winning_the_w|we are winning the war, but our enemies are still holding on
qstr_we_are_on_the_verge_|we are on the verge of victory. What enemies that remain pose no threat, but we must still hunt them down
qstr_Yes_{s5}?|Yes, {s5}?
qstr__no_fiefs_|(No fiefs)
qstr__fiefs:_{s0}_|(Fiefs: {s0})
qstr_{playername}_when_we|{playername}, when we started down this road, few people had the courage to support me -- and fewer still would have put their lives at risk for my cause. But you didn't hesitate for a moment in throwing yourself upon my enemies. We have been through much together, and there were times I came close to losing all hope. But with God's help, we prevailed. It is now time for me to leave your company, and take what is rightfully mine. From now on, I will carry out the great responsibility of ruling {s3}. There still lie many challenges ahead, and I count on your help in overcoming those. And of course, you will always remain my first man.
qstr_I_am_{s4}_the_ruler_|I am {s4}, the ruler of {s6}
qstr_I_am_{s4}_a_vassal_o|I am {s4}, a noble of {s6}
qstr_{s9}{reg5?_and_the_l|{s9}{reg5? and the lord of {s8}.:.
qstr_Your_mission_is_comp|Your mission is complete, and {s9} wants you to resume following his army until further notice.
qstr_{s13}_asked_you_to_g|{s13} asked you to deliver him {reg3} head of cattle.
qstr_{s9}_asked_you_to_sc|{s9} asked you to scout {s13}, {s14} and {s15}, and then report back.
qstr_{s16}_and_{s17}|{s16} and {s17}
qstr_{s16}_{s17}|{s16}, {s17}
qstr_Very_well_I_will_acc|Very well, I will accept you back into my ranks, if you're ready to swear your solemn oath to me once more.
qstr_A_pardon_will_only_b|A pardon will only be possible if you are willing to cede {s17} to me. Do you agree my terms?
qstr_No._There_is_no_chan|No. It seems there is no chance of peace between us. I am not interested.
qstr_We_are_not_at_war_wi|We are not at war with anyone.
qstr_We_are_at_war_with_{|We are at war with {s12}.
qstr_{s9}_asked_you_to_ta|{s9} asked you to take a message to {s13}. {s13} was believed to be at {s4} when you were given this quest.
qstr_{s9}_asked_you_to_tak|{s9} asked you to take a message to {s13} of {s15}. {s13} was believed to be at {s4} when you were given this quest.
qstr_{s11}_asked_you_to_e|{s11} asked you to escort his {s17} {s13} to {s14}.
qstr_{s13}_asked_you_to_d|{s13} asked you to deal with the bandits who are occupying the village of {s15}, and then report back to him.
qstr_{s9}_asked_you_to_ra|{s9} asked you to raise {reg1} {s14} and bring them to him.
qstr_{s9}_asked_you_to_co|{s9} asked you to collect taxes from {s3}. He offered to leave you one-fifth of all the money you collect.
qstr_{s9}_asked_you_to_hu|{s9} asked you to hunt down a fugitive named {s4}. He is currently believed to be in {s3}.
qstr_{s9}_asked_you_to_as|{s9} asked you to assassinate a local merchant in {s3}.
qstr_{s9}_has_asked_you_t|{s9} has asked you to meet with a spy in {s13}.
qstr_{s9}_asked_you_to_ca|{s9} has asked you to capture and loot {reg13} cart trains, so as to provoke a war with {s13}.
qstr_{s9}_asked_you_to_cat|{s9} asked you to catch the three groups of runaway serfs and bring them back to {s4}, alive and breathing. He said that all three groups are heading towards {s3}.
qstr_{s11}_asked_you_to_f|{s11} asked you to follow the spy, who will be leaving {s12}. Be careful not to let the spy see you along the way, or he may become suspicious and turn back. Once the spy meets with his accomplice, you are to capture them both and bring them back to {s11}.
qstr_{s11}_asked_you_to_c|{s11} asked you to capture a noble from {s13} -- any noble -- and drag your victim back to {s11} for safe keeping.
qstr_{s9}_asked_you_to_le|{s9} asked you to lend your companion {s3} to him for a week.
qstr_{s9}_asked_you_to_col|{s9} asked you to collect the debt of {reg4} thaler that {s3} owes to him. {s3} was in {s4} when you were given this quest.
qstr_{s11}_gave_you_a_fak|{s11} gave you a fake letter to fool {s13} into banishing his noble {s16}. You are to approach {s14}, give the letter to one of your {s15} and send him into the town as a messenger, believing his orders to be genuine.
qstr_{s9}_has_requested_y|{s9} has requested you to bring him {reg1} {s3} as prisoners.
qstr_Lend_your_experience|Lend your experienced surgeon {s3} to {s1}.
qstr_Then_take_it_with_my|Then take these small gifts with my eternal thanks. You are a noble {man/woman}. I will never forget that you helped me in my time of need.
qstr_Forgive_me_{playerna|Forgive me, {playername}, but I must insist you accept my gift. The money means little to me, and I owe you so much. Here, take it, and let us speak no more of this.
qstr_{playername}_what_a_|{playername}, what a dear {man/woman} you are, but I will not allow you to refuse this. I owe you far more than I can say, and I am sure you can put this money to far better use than I.
qstr_{s11}_asked_you_to_r|{s11} asked you to rescue her {s17}, {s13}, from {s14} by switching clothes and taking his place in prison.
qstr_{s11}_asked_you_to_d|{s11} asked you to deliver a message to {s13}, who is imprisoned at {s14}.
qstr_You_agreed_to_challe|You agreed to challenge {s13} to defend {s11}'s honor.
qstr_{s5}__Persuasion_str|{s5} (Your skills of Persuasion have saved you {reg5} thaler)
qstr_Persuasion_Attempt|Persuasion Attempt
qstr_A_villager_from_{s7}|A villager from {s7} begged you to save their village from the bandits that have taken refuge there.
qstr_You_chose_well_{sir/|You chose well, {sir/madam}. My lads know how to keep their word and earn their pay.
qstr_Well_done_{sir/madam|Well done, {sir/madam}. Keep the money and wine coming our way, and there's no foe you need fear.
qstr_We_are_at_your_servi|We are at your service, {sir/madam}. Point us in the direction of those who need hurting, and we'll take care of the rest.
qstr_You_will_not_be_diss|You will not be disappointed, {sir/madam}. You could ride for five hundred miles, and never would you find better warriors than these.
qstr_The_Guildmaster_of_{|The mayor of {s13} has asked you to deal with the looters that plague the surrounding countryside.
qstr_{s9}_of_{s3}_asked_y|{s9} of {s3} asked you to deliver {reg5} units of {s6} to the pub in {s4} within the week.
qstr_Escort_the_merchant_|Escort the merchant cart train to the town of {s8}.
qstr_Merchant_{s9}_of_{s4|The merchant {s9} of {s4} asks that you hunt down the troublesome bandits in the vicinity of the town.
qstr_Guildmaster_of_{s4}_|The mayor of {s4} gave you {reg12} thaler to pay the ransom of a girl kidnapped by bandits. You are to meet the bandits near {s3} and pay them the ransom fee. After that, you are to bring the girl back to {s4}.
qstr_Guildmaster_of_{s4}_p|The mayor of {s4} promised you {reg12} thaler if you can ensure that {s12} and {s13} no longer pose a threat to the peace settlement between {s15} and {s14}. In order to do this, you must either convince them, or make sure they fall captive and remain so until the peace agreement has been completed.
qstr_The_Guildmaster_of_{s|The mayor of {s14} has asked you to deal with the group of bandits terrorizing the streets of {s14}. They only come out at night, and only attack lone travelers on the streets.
qstr_Guildmaster_of_{s10}|The mayor of {s10} has asked you to move a cattle herd to {s13}. You will earn {reg8} thaler for this service.
qstr_He_is_not_commanding|He is not commanding any men at the moment.
qstr_He_currently_command|He currently commands {reg0} men{reg1?, of which around {reg1} are wounded:}.
qstr_The_elder_of_the_vil|The elder of the village of {s3} has asked you to bring them {reg5} packs of wheat.
qstr_The_elder_of_the_vill|The elder of the village of {s13} asked you to train {reg5} peasants to fight against the local bandits.
qstr_The_elder_of_the_villa|The elder of the village of {s3} asked you to bring them {reg5} head of cattle.
qstr_As_{s9}_said_it_woun|{s9} advised to visit {s10}. It would seem that the local elder is seeking brave men to run various errands.
qstr_OiM_The_elder_{s9}_a|A gang has settled around the village of Zamoshye. The elder asks that you to deal with the bandits who are camped in the nearby forest.
qstr_OiM_The_elder_{s9}_as|{s9} asked you to persuade {s10} to lower taxes.
qstr_OiM_The_elder_{s9}_ask|{s9} asked you to deliver him 3 bags of {s10}.
qstr_OiM_The__De_la_Gardi|The new clues have led to {s10}. Perhaps the townspeople might know something...
qstr_OiM_getman_No_skazal|Despite your failure to fulfill the task, the elder mentioned that Evangelic is in {s4}.
qstr_OiM_The__{s9}_asked_|{s9} asked you to deliver {s10} to the Sich.
qstr_OiM_nu_vot_so_shmato|With a piece of lard in his mouth, the Tatar can hardly speak.
qstr_OiM_Kozaki_zametii_4|The Cossacks have discovered your betrayal...
qstr_OiM_The_{s9}_asked_y|{s9} asked you to deliver him to {s10}.
qstr_OiM_Kozaki_zametili_|The Cossacks have discovered that you betrayed them.
qstr_OiM_teper_mozhno_dal|Now you can continue your journey.
qstr_OiM_Ischi_teper_yego|To the Ataman it is then...
qstr_OiM_The_{s9}_need_to|{s9} said that you must bring no less than {reg0} soldiers to {s10}.
qstr_OiM_Ne_uspeli_s_cona|Before you even had a chance to dismount, the Cossacks arrived in the village...
qstr_OiM_Jaz_budet_jarko|It seems that the battle cannot be avoided. You shall now see for yourself what the Cossacks are worth in battle...
qstr_OiM_{s9}_asked_you_v|{s9} asked you to head to Moscow, delivering goods for the Don Cossacks.
qstr_OiM_Potop_nuzhno_per|The goods have been received. Now you should bring it to {s6}.
qstr_OiM_{s9}_asked_you_t|{s9} ordered you to intercept a cart train filled with arms, which, according to his reports, has set out from {s10} to {s11}.
qstr_OiM_{s9}_asked_you_to|{s9} asked you to bring Clermont before the King.
qstr_OiM_{s9}_asked_you_to_|{s9} shall come with you if you bring no less than ten soldiers along with you...
qstr_OiM_{s9}_asked_you_to_b|{s9} asked you to plunder {s10}.
qstr_OiM_{s9}_skazal_chto|{s9} said that he shall speak to the Hetman on your behalf.
qstr_OiM_{s9}_asked_to_br|{s9} asked you to take a horse to {s10}.
qstr_As_{s9}_said_to_get_|{s9} asked you to collect the money from {s10} and bring it to Hmelnitski.
qstr_As_{s9}_give_you_a_r|{s9} gave you a recommendation for {s10}.
qstr_OiM_{s9}_asked_to_lo|{s9} asked you to plunder three villages of the Polish Commonwealth.
qstr_OIM_add_{s9}_asked_y|{s9} advised to find Colonel Zagloba. The old Polish officer is most likely boozing somewhere in a pub in the lands of the Poles.
qstr_OIM_add_{s9}_asked_yo|{s9} asked you to bring a letter to {s11}.
qstr_OIM_add_{s9}_deliver|{s9} ordered you to deliver him a captive Swedish soldier.
qstr_OIM_add_You_were_ask|A sacred Polish monastery is in peril! King Jan Kasimir ordered you to {s10}, to drive back the Swedish infidels who are desecrating the famous site.
qstr_OIM_add_Wam_nuzhno_o|The Polish capital has fallen to the Swedes. You must take {s10} back at any cost. Not only is your own fate at stake, but the future of the Polish Commonwealth hangs in the balance.
qstr_OIM_add_{s9}_asked_you|{s9} asked you to capture a Swedish officer.
qstr_OIM_add_{s9}_asked_you_|{s9} has given you a difficult task. You are to secure a peace treaty between the Polish Commonwealth and the Crimean Khanate. To this end, you must leave the service of Jan Kasimir, find {s10}, and offer him your support in the struggle for the throne. In return, make him promise that once he becomes Khan, he shall make peace with the Polish Commonwealth. But installing a claimant on the throne is no easy task. You shall have to draw all the Tatar Mirzas to your side, and take prisoner all who dissent. You will also have to take all the towns and strongholds of the Crimean Khanate.
qstr_OIM_add_{s9}_asked_you_t|In return for his cooperation, {s9} has asked you to conquer two cities of the Muscovite Tsardom.
qstr_OiM_Potop_Pora_pogov|You fulfilled the king's orders. It is time to speak with him.
qstr_OIM_add_As_{s9}_said|{s9} promised to restore you to service, and will return your title if you can regain the support of the gentry. You shall have to speak to Colonel Zagloba, and try to draw to your side at least half of the gentry... You would not want anyone shouting "nie pozwalam!" at the meeting of the Sejm.
qstr_OiM_Potop_{s3}_prosi|{s3} instructed you to take {s4} prisoner.
qstr_OiM_Potop_Shveda_slo|In search of a Swedish prisoner.
qstr_OiM_Potop_Borzobagat|You came to learn that Borzobogataya is in {s5}.
qstr_{s4}_{s2}|{s4}, {s2}
qstr_{s5}_{s2}|{s5}, {s2}
qstr_OIM_add_Nu_polkiy_se|The Sejm is in session. Now you just need to wait for the results.
qstr_OIM_add_Nu_vot_teper|Now {s7} wants you to seize {s3}, {s4}, {s5}, and {s6}.
qstr_OIM_add__{s2}_hochet|The king wants you to capture {s3}.
qstr_OIM_add__Teper_pora_|It is time to gather a militia against the King to finally place a worthy man on the throne. For a start, you shall have to secure the support of the gentry...
qstr_OIM_add__Teper_kogda|Jan Kasimir summoned some free lances to his lands. They must be stopped before they plunder even a single city of the Polish Commonwealth.
qstr_{s4}.|{s4}.
qstr_OiMP2_str_qst_potop_|These are perilous times for the Polish Commonwealth. It is beset by enemies on all sides -- the Swedes, the Muscovites, and the Cossacks... Poland needs a hero who shall stand in the way of the Swedish deluge, a hero who would make the unruly gentry rethink their ways, and stand as one to defy the enemy...
qstr_OIM_add_getman__{s4}|{s4} wants you to protect {s3} from assault.
qstr_OIM_add_getman__star|Alas, the old man failed to tell you everything. But perhaps there is someone else who knows about the Black Mace...
qstr_OiM_add_Nu_teper_por|You have found a clue. Perhaps de Clermont knows something of the Black Mace.
qstr_OIM_add_getman__{s5}|Clermont related that he heard about the Black Mace from {s5}.
qstr_OIM_add__chtobi_uzna|You found out that {s3} might know the secret of the Black Mace. You have to begin an uprising against {s4} to help {s3} take the throne.
qstr_OIM_add__{s3}_prosil_|{s3} instructed you to talk to the Mayor of Kiev.
qstr_OIM_add_Kiev_{s3}_pr|You must return Kiev to the hands of {s3}.
qstr_OIM_add__Net_zolota_|Perhaps the Mayor of Kiev knows something. Yet without silver, one can hardly expect to gather information.
qstr_OIM_add__Nu_chto_zhe|The Cossack was right! Radziwill is involved in the story of the Black Mace. It is time to ask the Prince a few questions...
qstr_OIM_add__{s3}_hochet|Without answering a single question, {s3} demanded that you take a Tatar Mirza prisoner.
qstr_OIM_add__pora_iskat_|You found a letter written by the Mirza which states that the Templar archives contain information about the Black Mace. It would be wise to go to {s20} and look into these archives. 
qstr_OIM_add_Kyazya_Olgov|Having spent much time reading the archives, you discover that the Princes of the house of Oleg were directly tied to the story of the Black Mace.
qstr_OIM_add__nuzhno_vitr|That fellow is not an easy one to crack. You shall need to make him talk somehow.
qstr_OIM_add_getman__Pora|Another clue and another mystery -- the Book of the Crow!
qstr_OiM_getman_Knigu_moz|The book is not easy to decipher. You shall need to find a scholar, Saint Pafnuty from {s6}.
qstr_OiM_getman_Nuzhno_pe|Pafnuty has agreed to translate the book, but he requires access to the archives in {s3}.
qstr_OiM_getman_Kniga_na_|You brought Pafnuty to the archives. Now you must simply wait for him to translate the book...
qstr_OIM_add_getman__Koza|They say that Cossack Mamai knows many legends. Perhaps you should speak with him...
qstr_OIM_add_getman__Bara|It turns out that Hetman Barabash is alive. He could be quite useful...
qstr_OIM_add_getman__Nu_c|You have concocted a plan -- to get yourself close to Radziwill in the guise of a mercenary and attempt to kill him...
qstr_{s1}_s_tomb|Here lies {s1}
qstr_OIM_add_getman__Chto|You have taken Barabash's side, and now you must draw to your side at least half of the Cossack Colonels, in order to gain influence and win the mace of the Hetman for Barabash.
qstr_OIM_add_getman__tepe|Now that you have joined the Cossacks, Mamai would try to persuade Hmelnitski to grant you the title of Marshal. You need only to wait until the matter is decided.
qstr_OIM_add_getman__{s5}_|{s5} said that the carts left {s3} and went to {s4}. Perhaps Hmelnitski is right.
